Hugo_Symbol	Chromosome	arm
KDSR	18q21.33	18q
KEAP1	19p13.2	19p
KEL	7q34	7q
KERA	12q21.33	12q
KERSMCR	17p11.2	17p
KHDC1	6q13	6q
KHDC1L	6q13	6q
KHDC1P1	6q13	6q
KHDC3L	6q13	6q
KHDC4	1q22	1q
KHDRBS1	1p35.2	1p
KHDRBS2	6q11.1	6q
KHDRBS2-OT1	6q11.1	6q
KHDRBS3	8q24.23	8q
KHK	2p23.3	2p
KHNYN	14q12	14q
KHRBP1	2p13.3	2p
KHSRP	19p13.3	19p
KHSRPP1	9p21.3	9p
KIAA0040	1q25.1	1q
KIAA0087	7p15.2	7p
KIAA0100	17q11.2	17q
KIAA0125	14q32.33	14q
KIAA0232	4p16.1	4p
KIAA0319	6p22.3	6p
KIAA0319L	1p34.3	1p
KIAA0367	9q21.31	9q
KIAA0408	6q22.33	6q
KIAA0507	1q41	1q
KIAA0513	16q24.1	16q
KIAA0586	14q23.1	14q
KIAA0753	17p13.1	17p
KIAA0754	1p34.2	1p
KIAA0825	5q15	5q
KIAA0895	7p14.2	7p
KIAA0895L	16q22.1	16q
KIAA0895LP1	18p11.22	18p
KIAA0930	22q13.31	22q
KIAA1107	1p22.1	1p
KIAA1109	4q27	4q
KIAA1143	3p21.31	3p
KIAA1143P1	14q12	14q
KIAA1143P2	3p24.1	3p
KIAA1191	5q35.2	5q
KIAA1217	10p12.2-p12.1	10p
KIAA1245	1q21.1	1q
KIAA1328	18q12.2	18q
KIAA1522	1p35.1	1p
KIAA1549	7q34	7q
KIAA1549L	11p13	11p
KIAA1586	6p12.1	6p
KIAA1614	1q25.3	1q
KIAA1614-AS1	1q25.3	1q
KIAA1618	17q25.3	17q
KIAA1671	22q11.23	22q
KIAA1671-AS1	22q11.23	22q
KIAA1755	20q11.23	20q
KIAA1794	15q26.1	15q
KIAA1840	15q21.1	15q
KIAA1841	2p15	2p
KIAA1958	9q32	9q
KIAA2012	2q33.1	2q
KIAA2012-AS1	2q33.1	2q
KIAA2013	1p36.22	1p
KIAA2026	9p24.1	9p
KIDINS220	2p25.1	2p
KIF1A	2q37.3	2q
KIF1B	1p36.22	1p
KIF1C	17p13.2	17p
KIF1C-AS1	17p13.2	17p
KIF2A	5q12.1	5q
KIF2B	17q22	17q
KIF2C	1p34.1	1p
KIF3A	5q31.1	5q
KIF3AP1	3q29	3q
KIF3B	20q11.21	20q
KIF3C	2p23.3	2p
KIF4B	5q33.2	5q
KIF5A	12q13.3	12q
KIF5B	10p11.22	10p
KIF5C	2q23.1-q23.2	2q
KIF5C-AS1	2q23.1	2q
KIF6	6p21.2	6p
KIF7	15q26.1	15q
KIF9	3p21.31	3p
KIF9-AS1	3p21.31	3p
KIF11	10q23.33	10q
KIF12	9q32	9q
KIF13A	6p22.3	6p
KIF13B	8p12	8p
KIF14	1q32.1	1q
KIF15	3p21.31	3p
KIF16B	20p12.1	20p
KIF17	1p36.12	1p
KIF18A	11p14.1	11p
KIF18B	17q21.31	17q
KIF18BP1	16p11.1	16p
KIF19	17q25.1	17q
KIF20A	5q31.2	5q
KIF20B	10q23.31	10q
KIF21A	12q12	12q
KIF21B	1q32.1	1q
KIF22	16p11.2	16p
KIF23	15q23	15q
KIF24	9p13.3	9p
KIF25	6q27	6q
KIF25-AS1	6q27	6q
KIF26A	14q32.33	14q
KIF26B	1q44	1q
KIF26B-AS1	1q44	1q
KIF27	9q21.32	9q
KIF28P	1q44	1q
KIFAP3	1q24.2	1q
KIFBP	10q22.1	10q
KIFC1	6p21.32	6p
KIFC2	8q24.3	8q
KIFC3	16q21	16q
KIN	10p14	10p
KIR2DL1	19q13.42	19q
KIR2DL2	19q13.4 alternate reference locus	19q
KIR2DL3	19q13.42	19q
KIR2DL4	19q13.42	19q
KIR2DL5A	19q13.4 alternate reference locus	19q
KIR2DL5B	19q13.4 alternate reference locus	19q
KIR2DP1	19q13.42	19q
KIR2DS1	19q13.4 alternate reference locus	19q
KIR2DS2	19q13.4 alternate reference locus	19q
KIR2DS3	19q13.4 alternate reference locus	19q
KIR2DS4	19q13.42	19q
KIR2DS5	19q13.4 alternate reference locus	19q
KIR3DL1	19q13.42	19q
KIR3DL2	19q13.42	19q
KIR3DL3	19q13.42	19q
KIR3DP1	19q13.42	19q
KIR3DS1	19q13.4 alternate reference locus	19q
KIR3DX1	19q13.42	19q
KIRREL1	1q23.1	1q
KIRREL1-IT1	1q23.1	1q
KIRREL2	19q13.12	19q
KIRREL3	11q24.2	11q
KIRREL3-AS1	11q24.2	11q
KIRREL3-AS2	11q24.2	11q
KIRREL3-AS3	11q24.2	11q
KISS1	1q32.1	1q
KISS1R	19p13.3	19p
KIT	4q12	4q
KITLG	12q21.32	12q
KIZ	20p11.23	20p
KIZ-AS1	20p11.23	20p
KL	13q13.1	13q
KLB	4p14	4p
KLC1	14q32.33	14q
KLC2	11q13.2	11q
KLC3	19q13.32	19q
KLC4	6p21.1	6p
KLF1	19p13.13	19p
KLF2	19p13.11	19p
KLF2P1	2q21.1	2q
KLF2P2	2q21.1	2q
KLF2P3	2q21.1	2q
KLF2P4	2q21.1	2q
KLF3	4p14	4p
KLF3-AS1	4p14	4p
KLF3P1	5q35.1	5q
KLF3P2	3q25.31	3q
KLF4	9q31.2	9q
KLF4P1	9p24.1	9p
KLF5	13q22.1	13q
KLF6	10p15.2	10p
KLF7	2q33.3	2q
KLF7-IT1	2q33.3	2q
KLF7P1	3q26.2	3q
KLF8P1	16q12.1	16q
KLF9	9q21.12	9q
KLF9-DT	9q21.12	9q
KLF10	8q22.3	8q
KLF11	2p25.1	2p
KLF12	13q22.1	13q
KLF13	15q13.3	15q
KLF14	7q32.2	7q
KLF15	3q21.3	3q
KLF16	19p13.3	19p
KLF17	1p34.1	1p
KLF17P1	12q14.1	12q
KLF17P2	4p15.33	4p
KLF18	1p34.1	1p
KLHDC1	14q21.3	14q
KLHDC2	14q21.3	14q
KLHDC3	6p21.1	6p
KLHDC4	16q24.2	16q
KLHDC7A	1p36.13	1p
KLHDC7B	22q13.33	22q
KLHDC7B-DT	22q13.33	22q
KLHDC8A	1q32.1	1q
KLHDC8B	3p21.31	3p
KLHDC9	1q23.3	1q
KLHDC10	7q32.2	7q
KLHL1	13q21.33	13q
KLHL2	4q32.3	4q
KLHL2P1	4q26	4q
KLHL3	5q31.2	5q
KLHL5	4p14	4p
KLHL6	3q27.1	3q
KLHL6-AS1	3q27.1	3q
KLHL7	7p15.3	7p
KLHL7-DT	7p15.3	7p
KLHL8	4q22.1	4q
KLHL9	9p21.3	9p
KLHL10	17q21.2	17q
KLHL11	17q21.2	17q
KLHL12	1q32.1	1q
KLHL14	18q12.1	18q
KLHL17	1p36.33	1p
KLHL18	3p21.31	3p
KLHL20	1q25.1	1q
KLHL21	1p36.31	1p
KLHL22	22q11.21	22q
KLHL23	2q31.1	2q
KLHL24	3q27.1	3q
KLHL25	15q25.3	15q
KLHL26	19p13.11	19p
KLHL28	14q21.2	14q
KLHL29	2p24.1	2p
KLHL30	2q37.3	2q
KLHL30-AS1	2q37.3	2q
KLHL31	6p12.1	6p
KLHL32	6q16.1	6q
KLHL33	14q11.2	14q
KLHL35	11q13.4	11q
KLHL36	16q24.1	16q
KLHL38	8q24.13	8q
KLHL40	3p22.1	3p
KLHL41	2q31.1	2q
KLHL42	12p11.22	12p
KLK1	19q13.33	19q
KLK2	19q13.33	19q
KLK3	19q13.33	19q
KLK4	19q13.41	19q
KLK5	19q13.41	19q
KLK6	19q13.41	19q
KLK7	19q13.41	19q
KLK8	19q13.41	19q
KLK9	19q13.41	19q
KLK10	19q13.41	19q
KLK11	19q13.41	19q
KLK12	19q13.41	19q
KLK13	19q13.41	19q
KLK14	19q13.41	19q
KLK15	19q13.33	19q
KLKB1	4q35.2	4q
KLKP1	19q13.33	19q
KLLN	10q23	10q
KLRA1P	12p13.2	12p
KLRB1	12p13.31	12p
KLRC1	12p13	12p
KLRC2	12p13.2	12p
KLRC3	12p13.2	12p
KLRC4	12p13.2	12p
KLRC4-KLRK1	12p13.2	12p
KLRD1	12p13.2	12p
KLRF1	12p13.31	12p
KLRF2	12p13.31	12p
KLRG1	12p13.31	12p
KLRG2	7q34	7q
KLRK1	12p13.2	12p
KLRK1-AS1	12p13.2	12p
KMO	1q43	1q
KMT2A	11q23.3	11q
KMT2B	19q13.12	19q
KMT2C	7q36.1	7q
KMT2D	12q13.12	12q
KMT2E	7q22.3	7q
KMT2E-AS1	7q22.3	7q
KMT5A	12q24.31	12q
KMT5AP1	13q11	13q
KMT5AP2	2p11.2	2p
KMT5AP3	3q26.2	3q
KMT5B	11q13.2	11q
KMT5C	19q13.42	19q
KNCN	1p33	1p
KNDC1	10q26.3	10q
KNG1	3q27.3	3q
KNL1	15q15.1	15q
KNO	21q22.3	21q
KNOP1	16p12.3	16p
KNOP1P1	12p12.1	12p
KNOP1P2	12q12	12q
KNOP1P3	2p16.3	2p
KNOP1P4	6q13	6q
KNOP1P5	8q24.13	8q
KNSTRN	15q15.1	15q
KNTC1	12q24.31	12q
KPNA1	3q21.1	3q
KPNA2	17q24.2	17q
KPNA2P1	4q21.21	4q
KPNA2P2	7q21.13	7q
KPNA2P3	17q24.1	17q
KPNA3	13q14.2	13q
KPNA3-IT1	13q14.2	13q
KPNA4	3q25.33	3q
KPNA5	6q22.1	6q
KPNA6	1p35.2	1p
KPNA7	7q22.1	7q
KPNB1	17q21.32	17q
KPRP	1q21.3	1q
KPTN	19q13.32	19q
KRAS	12p12.1	12p
KRASP1	6p12.1	6p
KRBA1	7q36.1	7q
KRBA2	17p13.1	17p
KRBOX1	3p22.1	3p
KRBOX1-AS1	3p22.1	3p
KRCC1	2p11.2	2p
KREMEN1	22q12.1	22q
KREMEN2	16p13.3	16p
KRI1	19p13.2	19p
KRIT1	7q21.2	7q
KRN1	11q13	11q
KRN1L	11p15	11p
KRR1	12q21.2	12q
KRR1P1	13q12.11	13q
KRT1	12q13.13	12q
KRT2	12q13.13	12q
KRT3	12q13.13	12q
KRT4	12q13.13	12q
KRT5	12q13.13	12q
KRT6A	12q13.13	12q
KRT6B	12q13.13	12q
KRT6C	12q13.13	12q
KRT6D	12q12-q13	12q
KRT7	12q13.13	12q
KRT7-AS	12q13.13	12q
KRT8	12q13.13	12q
KRT8P1	14q21.1	14q
KRT8P2	14q21.2	14q
KRT8P3	8q12.3	8q
KRT8P4	8q21.3	8q
KRT8P5	18q12.3	18q
KRT8P7	11q23.3	11q
KRT8P9	15q23	15q
KRT8P10	2q32.1	2q
KRT8P11	9q22.33	9q
KRT8P12	3q25.33	3q
KRT8P13	3q26.2	3q
KRT8P15	2q33.2	2q
KRT8P16	10p14	10p
KRT8P18	3p22.3	3p
KRT8P19	12q14.1	12q
KRT8P20	7p14.1	7p
KRT8P21	1p31.1	1p
KRT8P22	16q23.1	16q
KRT8P23	15q24.3	15q
KRT8P24	15q21.1	15q
KRT8P25	3p11.2	3p
KRT8P26	11q13.1	11q
KRT8P28	1q21.3	1q
KRT8P29	1q32.1	1q
KRT8P30	2q35	2q
KRT8P31	5q12.1	5q
KRT8P32	5q15	5q
KRT8P33	5q23.2	5q
KRT8P34	17q21.1	17q
KRT8P35	3p14.2	3p
KRT8P36	3q22.3	3q
KRT8P37	10p14	10p
KRT8P38	10q23.31	10q
KRT8P39	12q15	12q
KRT8P40	2q31.2	2q
KRT8P41	11p15.4	11p
KRT8P42	6q23.2	6q
KRT8P43	6p22.3	6p
KRT8P44	6q26	6q
KRT8P45	1q23.1	1q
KRT8P46	4q24	4q
KRT8P47	1p34.1	1p
KRT8P48	5q32	5q
KRT8P49	11p15.4	11p
KRT8P50	15q15.2	15q
KRT8P51	7q33	7q
KRT8P52	2q33.2	2q
KRT9	17q21.2	17q
KRT10	17q21.2	17q
KRT12	17q21.2	17q
KRT13	17q21.2	17q
KRT14	17q21.2	17q
KRT14L1	17p12-p11 and 17q12-q21	17p
KRT14L2	17p12-p11 and 17q12-q21	17p
KRT14L3	17p12-p11 and 17q12-q21	17p
KRT15	17q21.2	17q
KRT16	17q21.2	17q
KRT16L1	17p12-p11 and 17q12-q21	17p
KRT16L2	17p12-p11 and 17q12-q21	17p
KRT16P1	17p11.2	17p
KRT16P2	17p11.2	17p
KRT16P3	17p11.2	17p
KRT16P4	17p11.2	17p
KRT16P5	17p11.2	17p
KRT16P6	17p11.2	17p
KRT17	17q21.2	17q
KRT17P1	17p11.2	17p
KRT17P2	17p11.2	17p
KRT17P3	17q11.2	17q
KRT17P4	17p11.2	17p
KRT17P5	17p11.2	17p
KRT17P6	17p11.2	17p
KRT17P7	17p11.2	17p
KRT17P8	12p13.31	12p
KRT18	12q13.13	12q
KRT18P1	6p22.1	6p
KRT18P2	21q21.1	21q
KRT18P3	20p11.21	20p
KRT18P4	20q13.13	20q
KRT18P5	22q11.21	22q
KRT18P6	14q13.2	14q
KRT18P7	14q24.2	14q
KRT18P8	18p11.22	18p
KRT18P9	6p21.31	6p
KRT18P12	1q41	1q
KRT18P13	9q22.33	9q
KRT18P14	11p13	11p
KRT18P15	3p22.3	3p
KRT18P16	5q23.2	5q
KRT18P17	3p25.2	3p
KRT18P18	16q22.2	16q
KRT18P19	2q32.2	2q
KRT18P20	12q23.3	12q
KRT18P21	4q26	4q
KRT18P22	6q22.1	6q
KRT18P23	22q13.31	22q
KRT18P24	9q21.31	9q
KRT18P25	4p14	4p
KRT18P26	2p13.1	2p
KRT18P27	13q31.3	13q
KRT18P28	1q25.3	1q
KRT18P29	2q31.3	2q
KRT18P30	6q14.3	6q
KRT18P31	5p13.2	5p
KRT18P32	1q43	1q
KRT18P33	2p14	2p
KRT18P34	3q25.31	3q
KRT18P35	3q23	3q
KRT18P36	9p21.1	9p
KRT18P37	8p11.21	8p
KRT18P38	6p22.3	6p
KRT18P39	2q33.2	2q
KRT18P40	19p12	19p
KRT18P41	5q35.1	5q
KRT18P42	5q21.3	5q
KRT18P43	3q26.2	3q
KRT18P45	5q14.1	5q
KRT18P46	2q24.2	2q
KRT18P47	15q26.1	15q
KRT18P50	6q16.1	6q
KRT18P51	4q31.21	4q
KRT18P52	2p22.3	2p
KRT18P54	4q28.3	4q
KRT18P55	17q11.2	17q
KRT18P56	5p13.1	5p
KRT18P57	1p13.2	1p
KRT18P58	11p15.4	11p
KRT18P59	11q24.2	11q
KRT18P60	12q14.3	12q
KRT18P61	17q23.2	17q
KRT18P62	22q11.21	22q
KRT18P63	4p15.31	4p
KRT18P64	6q14.3	6q
KRT18P65	6q21	6q
KRT18P66	9p21.1	9p
KRT18P67	9q33.2	9q
KRT19	17q21.2	17q
KRT19P1	6q13	6q
KRT19P2	12q22	12q
KRT19P3	4q25	4q
KRT19P4	10q21.3	10q
KRT19P5	12q22	12q
KRT19P6	4q22.1	4q
KRT20	17q21.2	17q
KRT23	17q21.2	17q
KRT24	17q21.2	17q
KRT25	17q21.2	17q
KRT26	17q21.2	17q
KRT27	17q21.2	17q
KRT28	17q21.2	17q
KRT31	17q21.2	17q
KRT32	17q21.2	17q
KRT33A	17q21.2	17q
KRT33B	17q21.2	17q
KRT34	17q21.2	17q
KRT35	17q21.2	17q
KRT36	17q21.2	17q
KRT37	17q21.2	17q
KRT38	17q21.2	17q
KRT39	17q21.2	17q
KRT40	17q21.2	17q
KRT41P	17q21.2	17q
KRT42P	17q21.2	17q
KRT43P	17q21.2	17q
KRT71	12q13.13	12q
KRT72	12q13.13	12q
KRT73	12q13.13	12q
KRT73-AS1	12q13.13	12q
KRT74	12q13.13	12q
KRT75	12q13.13	12q
KRT76	12q13.13	12q
KRT77	12q13.13	12q
KRT78	12q13.13	12q
KRT79	12q13.13	12q
KRT80	12q13.13	12q
KRT81	12q13.13	12q
KRT82	12q13.13	12q
KRT83	12q13.13	12q
KRT84	12q13.13	12q
KRT85	12q13.13	12q
KRT86	12q13	12q
KRT87P	12q13.13	12q
KRT88P	12q13	12q
KRT89P	12q13.13	12q
KRT90P	12q13.13	12q
KRT125P	12q13.13	12q
KRT126P	12q13.13	12q
KRT127P	12q13.13	12q
KRT128P	12q13.13	12q
KRT222	17q21.2	17q
KRT223P	17q21.2	17q
KRTAP1-1	17q21.2	17q
KRTAP1-3	17q21.2	17q
KRTAP1-4	17q21.2	17q
KRTAP1-5	17q21.2	17q
KRTAP2-1	17q21.2	17q
KRTAP2-2	17q21.2	17q
KRTAP2-3	17q21.2	17q
KRTAP2-4	17q21.2	17q
KRTAP2-5P	17q21.2	17q
KRTAP3-1	17q21.2	17q
KRTAP3-2	17q21.2	17q
KRTAP3-3	17q21.2	17q
KRTAP3-4P	17q21.2	17q
KRTAP4-1	17q21.2	17q
KRTAP4-2	17q21.2	17q
KRTAP4-3	17q21.2	17q
KRTAP4-4	17q21.2	17q
KRTAP4-5	17q21.2	17q
KRTAP4-6	17q21.2	17q
KRTAP4-7	17q21.2	17q
KRTAP4-8	17q21.2	17q
KRTAP4-9	17q21.2	17q
KRTAP4-10	17q12-q21	17q
KRTAP4-11	17q21.2	17q
KRTAP4-12	17q21.2	17q
KRTAP4-13	17q12-q21	17q
KRTAP4-14	17q12-q21	17q
KRTAP4-15	17q12-q21	17q
KRTAP4-16	17q21.2	17q
KRTAP4-17P	17q21.2	17q
KRTAP5-1	11p15.5	11p
KRTAP5-2	11p15.5	11p
KRTAP5-3	11p15.5	11p
KRTAP5-4	11p15.5	11p
KRTAP5-5	11p15.5	11p
KRTAP5-6	11p15.5	11p
KRTAP5-7	11q13.4	11q
KRTAP5-8	11q13.4	11q
KRTAP5-9	11q13.4	11q
KRTAP5-10	11q13.4	11q
KRTAP5-11	11q13.4	11q
KRTAP5-13P	11q13.4	11q
KRTAP5-14P	11q13.4	11q
KRTAP5-AS1	11p15.5	11p
KRTAP6-1	21q22.11	21q
KRTAP6-2	21q22.11	21q
KRTAP6-3	21q22.11	21q
KRTAP7-1	21q22.11	21q
KRTAP8-1	21q22.1	21q
KRTAP8-2P	21q22.11	21q
KRTAP8-3P	21q22.11	21q
KRTAP9-1	17q21.2	17q
KRTAP9-2	17q21.2	17q
KRTAP9-3	17q21.2	17q
KRTAP9-4	17q21.2	17q
KRTAP9-6	17q21.2	17q
KRTAP9-7	17q21.2	17q
KRTAP9-8	17q21.2	17q
KRTAP9-9	17q21.2	17q
KRTAP9-10P	17q21.2	17q
KRTAP9-11P	17q21.2	17q
KRTAP9-12P	17q21.2	17q
KRTAP9L1	17q21.2	17q
KRTAP9L2	17q21.2	17q
KRTAP9L3	17q21.2	17q
KRTAP10-1	21q22.3	21q
KRTAP10-2	21q22.3	21q
KRTAP10-3	21q22.3	21q
KRTAP10-4	21q22.3	21q
KRTAP10-5	21q22.3	21q
KRTAP10-6	21q22.3	21q
KRTAP10-7	21q22.3	21q
KRTAP10-8	21q22.3	21q
KRTAP10-9	21q22.3	21q
KRTAP10-10	21q22.3	21q
KRTAP10-11	21q22.3	21q
KRTAP10-12	21q22.3	21q
KRTAP10-13P	21q22.3	21q
KRTAP11-1	21q22.1	21q
KRTAP12-1	21q22.3	21q
KRTAP12-2	21q22.3	21q
KRTAP12-3	21q22.3	21q
KRTAP12-4	21q22.3	21q
KRTAP12-5P	21q22.3	21q
KRTAP12-6P	21q22.3	21q
KRTAP13-1	21q22.11	21q
KRTAP13-2	21q22.11	21q
KRTAP13-3	21q22.11	21q
KRTAP13-4	21q22.11	21q
KRTAP13-5P	21q22.11	21q
KRTAP13-6P	21q22.11	21q
KRTAP15-1	21q22.11	21q
KRTAP16-1	17q21.2	17q
KRTAP17-1	17q21.2	17q
KRTAP18-1	21q22.3	21q
KRTAP18-2	21q22.3	21q
KRTAP18-3	21q22.3	21q
KRTAP18-5	21q22.3	21q
KRTAP18-7	21q22.3	21q
KRTAP18-9	21q22.3	21q
KRTAP19-1	21q22.11	21q
KRTAP19-2	21q22.11	21q
KRTAP19-3	21q22.11	21q
KRTAP19-4	21q22.11	21q
KRTAP19-5	21q22.11	21q
KRTAP19-6	21q22.11	21q
KRTAP19-7	21q22.11	21q
KRTAP19-8	21q22.11	21q
KRTAP19-9P	21q22.11	21q
KRTAP19-10P	21q22.11	21q
KRTAP19-11P	21q22.11	21q
KRTAP19P4	21q22.1	21q
KRTAP20-1	21q22.11	21q
KRTAP20-2	21q22.11	21q
KRTAP20-3	21q22.11	21q
KRTAP20-4	21q22.11	21q
KRTAP21-1	21q22.11	21q
KRTAP21-2	21q22.11	21q
KRTAP21-3	21q22.11	21q
KRTAP21-4P	21q22.11	21q
KRTAP22-1	21q22.11	21q
KRTAP22-2	21q22.11	21q
KRTAP23-1	21q22.11	21q
KRTAP24-1	21q22.11	21q
KRTAP25-1	21q22.11	21q
KRTAP26-1	21q22.11	21q
KRTAP27-1	21q22.11	21q
KRTAP29-1	17q21.2	17q
KRTCAP2	1q22	1q
KRTCAP2P1	2p21	2p
KRTCAP3	2p23.3	2p
KRTDAP	19q13.12	19q
KRTL1	12q11-q13	12q
KSR1	17q11.2	17q
KSR1P1	10q11.21	10q
KSR2	12q24.22-q24.23	12q
KTI12	1p32.3	1p
KTN1	14q22.1	14q
KTN1-AS1	14q22.3	14q
KWE	8p23-p22	8p
KXD1	19p13.11	19p
KY	3q22.2	3q
KYAT1	9q34.11	9q
KYAT3	1p22.2	1p
KYNU	2q22.2	2q
KYNUP1	17p11.2	17p
KYNUP2	17p11.2	17p
KYNUP3	17p11.2	17p
L1RE1	22q12.1	22q
L1RE2	1q	1q
L1RE3	2q24	2q
L1RE4	6p21	6p
L1TD1	1p31.3	1p
L1TD1P1	13q33.1	13q
L2HGDH	14q21.3	14q
L3HYPDH	14q23.1	14q
L3MBTL1	20q13.12	20q
L3MBTL2	22q13.2	22q
L3MBTL2-AS1	22q13.2	22q
L3MBTL3	6q23.1	6q
L3MBTL4	18p11.31	18p
L3MBTL4-AS1	18p11.31	18p
LACC1	13q14.11	13q
LACRT	12q13.2	12q
LACTB	15q22.2	15q
LACTB2	8q13.3	8q
LACTB2-AS1	8q13.3	8q
LACTBL1	1p36.12	1p
LAD1	1q32.1	1q
LAG3	12p13.31	12p
LAGE3P1	9p21.1	9p
LAIR1	19q13.42	19q
LAIR2	19q13.42	19q
LALBA	12q13.11	12q
LAMA1	18p11.31	18p
LAMA2	6q22.33	6q
LAMA3	18q11.2	18q
LAMA4	6q21	6q
LAMA4-AS1	6q21	6q
LAMA5	20q13.33	20q
LAMA5-AS1	20q13.33	20q
LAMB1	7q31.1	7q
LAMB2	3p21.31	3p
LAMB2P1	3p21.31	3p
LAMB3	1q32.2	1q
LAMB4	7q31.1	7q
LAMC1	1q25.3	1q
LAMC1-AS1	1q25.3	1q
LAMC2	1q25.3	1q
LAMC3	9q34.12	9q
LAMP1	13q34	13q
LAMP1P1	12p13.3	12p
LAMP3	3q27.1	3q
LAMP5	20p12.2	20p
LAMP5-AS1	20p12.2	20p
LAMTOR1	11q13.4	11q
LAMTOR2	1q22	1q
LAMTOR3	4q23	4q
LAMTOR3P1	13q13.3	13q
LAMTOR3P2	5q23.1	5q
LAMTOR4	7q22.1	7q
LAMTOR5	1p13.3	1p
LAMTOR5-AS1	1p13.3	1p
LAMTOR5P1	1p31.3	1p
LANCL1	2q34	2q
LANCL1-AS1	2q34	2q
LANCL2	7p11.2	7p
LAP3	4p15.32	4p
LAP3P1	6q14.1	6q
LAP3P2	6p21.2	6p
LAPTM4A	2p24.1	2p
LAPTM4A-DT	2p24.1	2p
LAPTM4B	8q22.1	8q
LAPTM4BP1	1q21.3	1q
LAPTM4BP2	3p13	3p
LAPTM5	1p35.2	1p
LARGE-AS1	22q12.3	22q
LARGE-IT1	22q12.3	22q
LARGE1	22q12.3	22q
LARGE2	11p11.2	11p
LARP1	5q33.2	5q
LARP1B	4q28.2	4q
LARP1BP1	4q13.1	4q
LARP1BP2	7q22.3	7q
LARP1P1	6p22.2	6p
LARP4	12q13.12	12q
LARP4B	10p15.3	10p
LARP4P	15q14	15q
LARP6	15q23	15q
LARP7	4q25	4q
LARP7P1	1q32.1	1q
LARP7P2	16p12.3	16p
LARP7P3	18q22.2	18q
LARP7P4	3q24	3q
LARS1	5q32	5q
LARS2	3p21.31	3p
LARS2-AS1	3p21.31	3p
LASP1	17q12	17q
LASTR	10p15.1	10p
LAT	16q13	16q
LAT2	7q11.23	7q
LATS1	6q25.1	6q
LATS2	13q12.11	13q
LATS2-AS1	13q12.11	13q
LAX1	1q32.1	1q
LAYN	11q23.1	11q
LBH	2p23.1	2p
LBHD1	11q12.3	11q
LBHD2	14q32.32	14q
LBP	20q11.23	20q
LBR	1q42.12	1q
LBX1	10q24.32	10q
LBX1-AS1	10q24.32	10q
LBX2	2p13.1	2p
LBX2-AS1	2p13.1	2p
LCA3	14q24	14q
LCA4	17p13	17p
LCA5	6q14.1	6q
LCA5L	21q22.2	21q
LCA9	1p36	1p
LCAL1	6q14.1	6q
LCAT	16q22.1	16q
LCCS1	9q34	9q
LCCS2	12q13	12q
LCE1A	1q21.3	1q
LCE1B	1q21.3	1q
LCE1C	1q21.3	1q
LCE1D	1q21.3	1q
LCE1E	1q21.3	1q
LCE1F	1q21.3	1q
LCE2A	1q21.3	1q
LCE2B	1q21.3	1q
LCE2C	1q21.3	1q
LCE2D	1q21.3	1q
LCE3A	1q21.3	1q
LCE3B	1q21.3	1q
LCE3C	1q21.3	1q
LCE3D	1q21.3	1q
LCE3E	1q21.3	1q
LCE4A	1q21.3	1q
LCE5A	1q21.3	1q
LCE6A	1q21.3	1q
LCEP1	1q21.3	1q
LCEP2	1q21.3	1q
LCEP3	1q21.3	1q
LCEP4	1q21.3	1q
LCK	1p35.2	1p
LCLAT1	2p23.1	2p
LCMT1	16p12.1	16p
LCMT1-AS1	16p12.1	16p
LCMT1-AS2	16p12.1	16p
LCMT2	15q15.3	15q
LCN1	9q34.3	9q
LCN1P1	9q34.2	9q
LCN1P2	9q34.2	9q
LCN2	9q34.11	9q
LCN6	9q34.3	9q
LCN8	9q34.3	9q
LCN9	9q34.3	9q
LCN10	9q34.3	9q
LCN12	9q34.3	9q
LCN15	9q34.3	9q
LCNL1	9q34.3	9q
LCOR	10q24.1	10q
LCORL	4p15.31	4p
LCP1	13q14.13	13q
LCP2	5q35.1	5q
LCS1	15q	15q
LCT	2q21.3	2q
LCT-AS1	2q21.3	2q
LCTL	15q22.31	15q
LDAH	2p24.1	2p
LDB1	10q24.32	10q
LDB2	4p15.32	4p
LDB3	10q23.2	10q
LDC1P	1p35.2	1p
LDHA	11p15.1	11p
LDHAL6A	11p15.1	11p
LDHAL6B	15q22.2	15q
LDHAL6CP	12q14.2	12q
LDHAL6DP	11q14.1	11q
LDHAL6EP	4q13.3	4q
LDHAL6FP	6q25.3	6q
LDHAP1	4p16.2	4p
LDHAP2	1q42.3	1q
LDHAP3	2p21	2p
LDHAP4	9p22.3	9p
LDHAP5	10q26.11	10q
LDHAP7	2p11.2	2p
LDHB	12p12.1	12p
LDHBP1	13q34	13q
LDHBP3	5q14.3	5q
LDHC	11p15.1	11p
LDHD	16q23.1	16q
LDLR	19p13.2	19p
LDLR-AS1	19p13.2	19p
LDLRAD1	1p32.3	1p
LDLRAD2	1p36.12	1p
LDLRAD3	11p13	11p
LDLRAD4	18p11.21	18p
LDLRAD4-AS1	18p11.21	18p
LDLRAP1	1p36.11	1p
LEAP2	5q31.1	5q
LECT2	5q31.1	5q
LEF1	4q25	4q
LEF1-AS1	4q25	4q
LEFTY1	1q42.12	1q
LEFTY2	1q42.12	1q
LEKR1	3q25.31	3q
LELP1	1q21.3	1q
LEMD1	1q32.1	1q
LEMD1-AS1	1q32.1	1q
LEMD1-DT	1q32.1	1q
LEMD2	6p21.31	6p
LEMD3	12q14.3	12q
LENEP	1q21.3	1q
LENG1	19q13.42	19q
